chr	context	strand	Read	Position	nMethylated	nUnmethylated	nMethylated(+dups)	nUnmethylated(+dups)
genome_hic_scaffold_1_RagTag	CHG	OB	1	1	19	0	19	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	10	14	0	14	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	11	9	0	9	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	12	11	1	11	1
genome_hic_scaffold_1_RagTag	CHG	OB	1	13	11	0	11	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	14	9	0	9	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	15	7	1	7	1
genome_hic_scaffold_1_RagTag	CHG	OB	1	16	11	0	11	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	17	11	0	11	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	18	10	1	10	1
genome_hic_scaffold_1_RagTag	CHG	OB	1	19	3	2	3	2
genome_hic_scaffold_1_RagTag	CHG	OB	1	2	5	0	5	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	20	14	0	14	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	21	4	0	4	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	22	16	3	16	3
genome_hic_scaffold_1_RagTag	CHG	OB	1	23	13	0	13	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	24	11	0	11	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	25	12	0	12	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	26	13	2	13	2
genome_hic_scaffold_1_RagTag	CHG	OB	1	27	14	0	14	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	28	9	3	9	3
genome_hic_scaffold_1_RagTag	CHG	OB	1	29	15	0	15	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	3	10	1	10	1
genome_hic_scaffold_1_RagTag	CHG	OB	1	30	9	0	9	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	31	10	0	10	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	32	11	1	11	1
genome_hic_scaffold_1_RagTag	CHG	OB	1	33	9	3	9	3
genome_hic_scaffold_1_RagTag	CHG	OB	1	34	13	0	13	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	35	4	0	4	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	36	12	1	12	1
genome_hic_scaffold_1_RagTag	CHG	OB	1	37	9	0	9	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	38	4	2	4	2
genome_hic_scaffold_1_RagTag	CHG	OB	1	39	11	1	11	1
genome_hic_scaffold_1_RagTag	CHG	OB	1	4	7	0	7	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	40	8	0	8	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	41	11	0	11	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	42	8	1	8	1
genome_hic_scaffold_1_RagTag	CHG	OB	1	43	7	1	7	1
genome_hic_scaffold_1_RagTag	CHG	OB	1	44	11	0	11	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	45	9	0	9	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	46	5	0	5	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	47	12	0	12	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	48	14	3	14	3
genome_hic_scaffold_1_RagTag	CHG	OB	1	49	8	0	8	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	5	9	1	9	1
genome_hic_scaffold_1_RagTag	CHG	OB	1	50	7	1	7	1
genome_hic_scaffold_1_RagTag	CHG	OB	1	51	9	0	9	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	52	6	2	6	2
genome_hic_scaffold_1_RagTag	CHG	OB	1	53	6	1	6	1
genome_hic_scaffold_1_RagTag	CHG	OB	1	54	9	0	9	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	55	8	0	8	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	56	9	0	9	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	57	14	0	14	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	58	15	2	15	2
genome_hic_scaffold_1_RagTag	CHG	OB	1	59	8	0	8	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	6	10	2	10	2
genome_hic_scaffold_1_RagTag	CHG	OB	1	60	8	0	8	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	61	9	1	9	1
genome_hic_scaffold_1_RagTag	CHG	OB	1	62	10	0	10	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	63	10	0	10	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	64	10	1	10	1
genome_hic_scaffold_1_RagTag	CHG	OB	1	65	5	0	5	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	66	12	0	12	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	67	12	0	12	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	68	11	0	11	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	69	7	0	7	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	7	4	0	4	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	70	10	1	10	1
genome_hic_scaffold_1_RagTag	CHG	OB	1	71	9	0	9	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	72	11	2	11	2
genome_hic_scaffold_1_RagTag	CHG	OB	1	73	11	1	11	1
genome_hic_scaffold_1_RagTag	CHG	OB	1	74	6	1	6	1
genome_hic_scaffold_1_RagTag	CHG	OB	1	75	5	4	5	4
genome_hic_scaffold_1_RagTag	CHG	OB	1	76	7	2	7	2
genome_hic_scaffold_1_RagTag	CHG	OB	1	8	16	0	16	0
genome_hic_scaffold_1_RagTag	CHG	OB	1	9	14	0	14	0
genome_hic_scaffold_1_RagTag	CHG	OB	2	1	9	0	9	0
genome_hic_scaffold_1_RagTag	CHG	OB	2	10	7	2	7	2
genome_hic_scaffold_1_RagTag	CHG	OB	2	11	8	0	8	0
genome_hic_scaffold_1_RagTag	CHG	OB	2	12	9	1	9	1
genome_hic_scaffold_1_RagTag	CHG	OB	2	13	12	1	12	1
genome_hic_scaffold_1_RagTag	CHG	OB	2	14	8	0	8	0
