chr	context	strand	Read	Position	nMethylated	nUnmethylated	nMethylated(+dups)	nUnmethylated(+dups)
phage_lambda	CHG	OB	1	1	285	342	359	409
phage_lambda	CHG	OB	1	10	301	235	459	345
phage_lambda	CHG	OB	1	11	285	285	398	391
phage_lambda	CHG	OB	1	12	278	249	421	355
phage_lambda	CHG	OB	1	13	314	259	432	370
phage_lambda	CHG	OB	1	14	304	255	458	391
phage_lambda	CHG	OB	1	15	286	265	428	409
phage_lambda	CHG	OB	1	16	298	279	457	390
phage_lambda	CHG	OB	1	17	300	250	456	406
phage_lambda	CHG	OB	1	18	311	259	498	431
phage_lambda	CHG	OB	1	19	344	262	535	468
phage_lambda	CHG	OB	1	2	248	310	309	377
phage_lambda	CHG	OB	1	20	355	256	550	457
phage_lambda	CHG	OB	1	21	336	264	519	443
phage_lambda	CHG	OB	1	22	354	295	594	500
phage_lambda	CHG	OB	1	23	359	290	582	493
phage_lambda	CHG	OB	1	24	336	267	585	486
phage_lambda	CHG	OB	1	25	343	265	538	488
phage_lambda	CHG	OB	1	26	386	271	656	449
phage_lambda	CHG	OB	1	27	360	286	587	562
phage_lambda	CHG	OB	1	28	345	281	617	496
phage_lambda	CHG	OB	1	29	383	312	601	553
phage_lambda	CHG	OB	1	3	234	263	310	330
phage_lambda	CHG	OB	1	30	396	295	639	509
phage_lambda	CHG	OB	1	31	361	313	633	556
phage_lambda	CHG	OB	1	32	403	311	642	532
phage_lambda	CHG	OB	1	33	377	333	626	586
phage_lambda	CHG	OB	1	34	370	289	658	491
phage_lambda	CHG	OB	1	35	374	300	603	534
phage_lambda	CHG	OB	1	36	355	306	656	548
phage_lambda	CHG	OB	1	37	306	291	519	495
phage_lambda	CHG	OB	1	38	356	273	578	445
phage_lambda	CHG	OB	1	39	312	302	514	500
phage_lambda	CHG	OB	1	4	257	246	317	287
phage_lambda	CHG	OB	1	40	323	260	559	439
phage_lambda	CHG	OB	1	41	308	260	483	436
phage_lambda	CHG	OB	1	42	291	251	476	408
phage_lambda	CHG	OB	1	43	271	266	435	435
phage_lambda	CHG	OB	1	44	293	260	468	383
phage_lambda	CHG	OB	1	45	233	214	399	356
phage_lambda	CHG	OB	1	46	285	196	456	324
phage_lambda	CHG	OB	1	47	258	207	405	343
phage_lambda	CHG	OB	1	48	252	204	402	341
phage_lambda	CHG	OB	1	49	267	192	418	313
phage_lambda	CHG	OB	1	5	220	231	285	293
phage_lambda	CHG	OB	1	50	241	189	403	313
phage_lambda	CHG	OB	1	51	223	182	366	292
phage_lambda	CHG	OB	1	52	211	176	407	294
phage_lambda	CHG	OB	1	53	212	164	366	300
phage_lambda	CHG	OB	1	54	210	142	373	260
phage_lambda	CHG	OB	1	55	203	181	358	303
phage_lambda	CHG	OB	1	56	186	136	341	253
phage_lambda	CHG	OB	1	57	171	145	298	264
phage_lambda	CHG	OB	1	58	187	150	380	236
phage_lambda	CHG	OB	1	59	193	140	346	257
phage_lambda	CHG	OB	1	6	243	234	315	301
phage_lambda	CHG	OB	1	60	156	137	337	270
phage_lambda	CHG	OB	1	61	173	126	345	268
phage_lambda	CHG	OB	1	62	161	126	379	256
phage_lambda	CHG	OB	1	63	162	118	304	245
phage_lambda	CHG	OB	1	64	166	107	333	215
phage_lambda	CHG	OB	1	65	154	121	297	231
phage_lambda	CHG	OB	1	66	143	97	334	236
phage_lambda	CHG	OB	1	67	156	112	311	253
phage_lambda	CHG	OB	1	68	121	113	306	233
phage_lambda	CHG	OB	1	69	128	110	229	200
phage_lambda	CHG	OB	1	7	281	255	347	342
phage_lambda	CHG	OB	1	70	127	81	244	145
phage_lambda	CHG	OB	1	71	87	91	185	170
phage_lambda	CHG	OB	1	72	117	75	216	153
phage_lambda	CHG	OB	1	73	95	67	203	126
phage_lambda	CHG	OB	1	74	83	68	152	123
phage_lambda	CHG	OB	1	75	38	86	76	137
phage_lambda	CHG	OB	1	76	65	16	113	29
phage_lambda	CHG	OB	1	8	244	264	364	336
phage_lambda	CHG	OB	1	9	254	238	354	336
phage_lambda	CHG	OB	2	1	165	296	216	334
phage_lambda	CHG	OB	2	10	243	210	360	315
phage_lambda	CHG	OB	2	11	246	227	339	326
phage_lambda	CHG	OB	2	12	267	222	369	306
phage_lambda	CHG	OB	2	13	250	235	349	327
phage_lambda	CHG	OB	2	14	260	197	383	290
phage_lambda	CHG	OB	2	15	262	230	351	349
phage_lambda	CHG	OB	2	16	256	250	374	355
phage_lambda	CHG	OB	2	17	237	224	364	341
phage_lambda	CHG	OB	2	18	281	245	441	395
phage_lambda	CHG	OB	2	19	288	233	485	401
phage_lambda	CHG	OB	2	2	233	225	289	264
phage_lambda	CHG	OB	2	20	330	227	552	391
phage_lambda	CHG	OB	2	21	283	245	480	433
phage_lambda	CHG	OB	2	22	328	252	565	445
phage_lambda	CHG	OB	2	23	310	261	509	477
phage_lambda	CHG	OB	2	24	291	270	522	457
phage_lambda	CHG	OB	2	25	314	257	526	510
phage_lambda	CHG	OB	2	26	330	253	572	451
phage_lambda	CHG	OB	2	27	307	252	525	481
phage_lambda	CHG	OB	2	28	308	255	549	483
phage_lambda	CHG	OB	2	29	344	266	577	475
phage_lambda	CHG	OB	2	3	190	241	231	283
phage_lambda	CHG	OB	2	30	371	303	619	526
phage_lambda	CHG	OB	2	31	328	265	541	525
phage_lambda	CHG	OB	2	32	387	258	664	488
phage_lambda	CHG	OB	2	33	332	301	578	579
phage_lambda	CHG	OB	2	34	344	309	621	536
phage_lambda	CHG	OB	2	35	355	300	626	547
phage_lambda	CHG	OB	2	36	308	279	560	502
phage_lambda	CHG	OB	2	37	352	260	602	452
phage_lambda	CHG	OB	2	38	352	287	562	480
phage_lambda	CHG	OB	2	39	307	293	503	484
phage_lambda	CHG	OB	2	4	203	181	241	206
phage_lambda	CHG	OB	2	40	333	282	532	441
phage_lambda	CHG	OB	2	41	315	282	485	431
phage_lambda	CHG	OB	2	42	319	286	482	451
phage_lambda	CHG	OB	2	43	298	294	447	444
phage_lambda	CHG	OB	2	44	326	260	504	398
phage_lambda	CHG	OB	2	45	275	245	440	388
phage_lambda	CHG	OB	2	46	290	243	436	371
phage_lambda	CHG	OB	2	47	268	241	419	371
phage_lambda	CHG	OB	2	48	302	241	483	376
phage_lambda	CHG	OB	2	49	287	249	454	399
phage_lambda	CHG	OB	2	5	185	201	229	247
phage_lambda	CHG	OB	2	50	268	219	440	353
phage_lambda	CHG	OB	2	51	279	233	439	360
phage_lambda	CHG	OB	2	52	261	229	476	368
phage_lambda	CHG	OB	2	53	239	186	390	327
phage_lambda	CHG	OB	2	54	257	207	432	346
phage_lambda	CHG	OB	2	55	215	199	404	338
phage_lambda	CHG	OB	2	56	231	174	414	314
phage_lambda	CHG	OB	2	57	236	184	404	316
phage_lambda	CHG	OB	2	58	248	186	477	339
phage_lambda	CHG	OB	2	59	244	175	450	306
phage_lambda	CHG	OB	2	6	220	208	265	246
phage_lambda	CHG	OB	2	60	232	180	452	340
phage_lambda	CHG	OB	2	61	213	178	419	344
phage_lambda	CHG	OB	2	62	194	163	426	319
phage_lambda	CHG	OB	2	63	190	150	401	330
phage_lambda	CHG	OB	2	64	220	158	433	342
phage_lambda	CHG	OB	2	65	201	149	380	304
phage_lambda	CHG	OB	2	66	146	150	332	287
phage_lambda	CHG	OB	2	67	171	151	332	300
phage_lambda	CHG	OB	2	68	153	155	333	256
phage_lambda	CHG	OB	2	69	152	126	306	249
phage_lambda	CHG	OB	2	7	224	205	263	261
phage_lambda	CHG	OB	2	70	155	134	294	256
phage_lambda	CHG	OB	2	71	132	119	230	219
phage_lambda	CHG	OB	2	72	155	98	237	172
phage_lambda	CHG	OB	2	73	144	101	209	170
phage_lambda	CHG	OB	2	74	103	74	159	118
phage_lambda	CHG	OB	2	75	74	54	102	72
phage_lambda	CHG	OB	2	76	52	0	74	0
phage_lambda	CHG	OB	2	8	210	192	277	248
phage_lambda	CHG	OB	2	9	216	212	286	282
phage_lambda	CHG	OT	1	1	104	31	108	31
phage_lambda	CHG	OT	1	10	72	49	78	54
phage_lambda	CHG	OT	1	11	67	42	74	42
phage_lambda	CHG	OT	1	12	55	64	58	64
phage_lambda	CHG	OT	1	13	78	28	82	31
phage_lambda	CHG	OT	1	14	96	61	99	62
phage_lambda	CHG	OT	1	15	84	43	91	44
phage_lambda	CHG	OT	1	16	88	67	91	69
phage_lambda	CHG	OT	1	17	99	51	101	54
phage_lambda	CHG	OT	1	18	84	64	86	66
phage_lambda	CHG	OT	1	19	105	54	112	55
phage_lambda	CHG	OT	1	2	37	69	37	72
phage_lambda	CHG	OT	1	20	96	80	100	81
phage_lambda	CHG	OT	1	21	90	78	99	82
phage_lambda	CHG	OT	1	22	107	70	108	72
phage_lambda	CHG	OT	1	23	109	83	111	85
