chr	context	strand	Read	Position	nMethylated	nUnmethylated	nMethylated(+dups)	nUnmethylated(+dups)
phage_lambda	CHG	OB	1	1	0	1	0	1
phage_lambda	CHG	OB	1	14	0	1	0	1
phage_lambda	CHG	OB	1	15	1	0	1	0
phage_lambda	CHG	OB	1	19	1	0	1	0
phage_lambda	CHG	OB	1	22	1	0	1	0
phage_lambda	CHG	OB	1	27	1	0	1	0
phage_lambda	CHG	OB	1	31	1	0	1	0
phage_lambda	CHG	OB	1	32	1	0	1	0
phage_lambda	CHG	OB	1	33	0	1	0	1
phage_lambda	CHG	OB	1	35	1	0	1	0
phage_lambda	CHG	OB	1	37	0	1	0	1
phage_lambda	CHG	OB	1	38	0	1	0	1
phage_lambda	CHG	OB	1	40	0	1	0	1
phage_lambda	CHG	OB	1	43	1	0	1	0
phage_lambda	CHG	OB	1	47	1	0	1	0
phage_lambda	CHG	OB	1	57	0	1	0	1
phage_lambda	CHG	OB	1	60	1	0	1	0
phage_lambda	CHG	OB	1	61	1	0	1	0
phage_lambda	CHG	OB	1	67	1	0	1	0
phage_lambda	CHG	OB	1	69	0	1	0	1
phage_lambda	CHG	OB	1	72	1	0	1	0
phage_lambda	CHG	OB	2	10	1	0	1	0
phage_lambda	CHG	OB	2	19	1	0	1	0
phage_lambda	CHG	OB	2	21	0	1	0	1
phage_lambda	CHG	OB	2	22	1	0	1	0
phage_lambda	CHG	OB	2	26	1	0	1	0
phage_lambda	CHG	OB	2	27	1	0	1	0
phage_lambda	CHG	OB	2	3	1	0	1	0
phage_lambda	CHG	OB	2	31	1	0	1	0
phage_lambda	CHG	OB	2	32	1	0	1	0
phage_lambda	CHG	OB	2	37	0	1	0	1
phage_lambda	CHG	OB	2	40	0	3	0	3
phage_lambda	CHG	OB	2	43	1	0	1	0
phage_lambda	CHG	OB	2	49	1	0	1	0
phage_lambda	CHG	OB	2	52	1	0	1	0
phage_lambda	CHG	OB	2	57	0	1	0	1
phage_lambda	CHG	OB	2	69	0	1	0	1
phage_lambda	CHG	OT	1	26	1	0	1	0
phage_lambda	CHG	OT	1	54	1	0	1	0
phage_lambda	CHG	OT	1	58	1	0	1	0
phage_lambda	CHG	OT	1	63	1	0	1	0
phage_lambda	CHG	OT	2	26	1	0	1	0
phage_lambda	CHG	OT	2	29	1	0	1	0
phage_lambda	CHG	OT	2	33	1	0	1	0
phage_lambda	CHG	OT	2	38	1	0	1	0
phage_lambda	CpG	OB	1	11	0	2	0	2
phage_lambda	CpG	OB	1	13	1	0	1	0
phage_lambda	CpG	OB	1	18	0	1	0	1
phage_lambda	CpG	OB	1	20	1	0	1	0
phage_lambda	CpG	OB	1	21	0	1	0	1
phage_lambda	CpG	OB	1	22	1	1	1	1
phage_lambda	CpG	OB	1	25	0	2	0	2
phage_lambda	CpG	OB	1	3	0	1	0	1
phage_lambda	CpG	OB	1	30	0	1	0	1
phage_lambda	CpG	OB	1	37	1	0	1	0
phage_lambda	CpG	OB	1	43	1	0	1	0
phage_lambda	CpG	OB	1	44	1	0	1	0
phage_lambda	CpG	OB	1	45	0	2	0	2
phage_lambda	CpG	OB	1	46	0	1	0	1
phage_lambda	CpG	OB	1	48	0	1	0	1
phage_lambda	CpG	OB	1	51	1	0	1	0
phage_lambda	CpG	OB	1	53	0	1	0	1
phage_lambda	CpG	OB	1	56	0	2	0	2
phage_lambda	CpG	OB	1	59	1	0	1	0
phage_lambda	CpG	OB	1	6	0	1	0	1
phage_lambda	CpG	OB	1	62	0	1	0	1
phage_lambda	CpG	OB	1	67	0	1	0	1
phage_lambda	CpG	OB	1	71	0	1	0	1
phage_lambda	CpG	OB	2	10	0	1	0	1
phage_lambda	CpG	OB	2	13	0	1	0	1
phage_lambda	CpG	OB	2	14	1	0	1	0
phage_lambda	CpG	OB	2	17	1	0	1	0
phage_lambda	CpG	OB	2	18	0	1	0	1
phage_lambda	CpG	OB	2	20	1	0	1	0
phage_lambda	CpG	OB	2	21	1	0	1	0
phage_lambda	CpG	OB	2	22	1	0	1	0
phage_lambda	CpG	OB	2	25	1	0	1	0
phage_lambda	CpG	OB	2	29	1	0	1	0
phage_lambda	CpG	OB	2	30	0	1	0	1
phage_lambda	CpG	OB	2	31	0	1	0	1
phage_lambda	CpG	OB	2	33	1	0	1	0
phage_lambda	CpG	OB	2	39	1	0	1	0
phage_lambda	CpG	OB	2	44	1	0	1	0
phage_lambda	CpG	OB	2	48	0	1	0	1
phage_lambda	CpG	OB	2	53	0	1	0	1
phage_lambda	CpG	OB	2	56	0	1	0	1
phage_lambda	CpG	OB	2	59	1	1	1	1
phage_lambda	CpG	OB	2	6	0	1	0	1
phage_lambda	CpG	OB	2	62	0	2	0	2
phage_lambda	CpG	OB	2	65	0	1	0	1
phage_lambda	CpG	OB	2	68	0	1	0	1
phage_lambda	CpG	OT	1	14	0	1	0	1
phage_lambda	CpG	OT	1	27	0	1	0	1
phage_lambda	CpG	OT	1	28	1	0	1	0
phage_lambda	CpG	OT	1	51	1	0	1	0
phage_lambda	CpG	OT	2	11	0	1	0	1
phage_lambda	CpG	OT	2	25	1	0	1	0
phage_lambda	CpG	OT	2	26	1	0	1	0
